latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
43.4443,4.9004,306.1,1.2,1.1,2020-01-01,1028,Terra,MODIS,55,6.03,281.9,12.1,D,2
43.4421,4.8962,300.7,1,1,2020-01-02,0146,Aqua,MODIS,9,6.03,276.2,7.9,N,2
42.9593,-0.8192,321.5,1.1,1,2020-01-02,1111,Terra,MODIS,81,6.03,281.4,23.5,D,0
43.447,4.8965,303.8,1.2,1.1,2020-01-03,2123,Terra,MODIS,50,6.03,278.9,12.1,N,2
43.4476,4.9051,303.7,1.1,1.1,2020-01-04,0134,Aqua,MODIS,57,6.03,280,11.8,N,2
51.0438,2.3007,303.1,1.2,1.1,2020-01-06,1045,Terra,MODIS,0,6.03,279.7,9.8,D,2
43.6272,4.5708,302.9,1,1,2020-01-06,1046,Terra,MODIS,54,6.03,282.1,7.9,D,0
43.5813,4.6282,302.9,1,1,2020-01-06,1046,Terra,MODIS,54,6.03,283.3,7.8,D,0
43.5794,4.6405,301.3,1,1,2020-01-06,1046,Terra,MODIS,46,6.03,283.3,6.9,D,0
43.4465,4.8935,302.8,1,1,2020-01-06,1047,Terra,MODIS,47,6.03,285.7,7.2,D,2
43.4445,4.906,300.6,1,1,2020-01-06,1047,Terra,MODIS,34,6.03,285.3,5.8,D,2
43.4458,4.9005,305.5,1.2,1.1,2020-01-06,1229,Aqua,MODIS,0,6.03,286.2,10.4,D,2
51.0421,2.2948,304.5,1.2,1.1,2020-01-06,2155,Terra,MODIS,60,6.03,279.9,12.9,N,2
51.0335,2.2908,303.5,1.5,1.2,2020-01-07,1127,Terra,MODIS,40,6.03,280.2,12.5,D,2
51.0438,2.2962,303.9,1.5,1.2,2020-01-07,1127,Terra,MODIS,0,6.03,280.5,12.1,D,2
42.8178,1.7123,307.1,1.2,1.1,2020-01-07,1311,Aqua,MODIS,65,6.03,284.1,12.6,D,0
43.4441,4.8978,309.8,1,1,2020-01-08,1034,Terra,MODIS,52,6.03,284.4,12.5,D,2
43.6674,4.3754,301.7,1.1,1,2020-01-08,1034,Terra,MODIS,48,6.03,283.4,7.1,D,0
43.4472,4.8983,306.8,1,1,2020-01-08,2141,Terra,MODIS,69,6.03,276,12.3,N,2
43.4439,4.8955,300.3,2.2,1.4,2020-01-09,1117,Terra,MODIS,0,6.03,286.1,18.2,D,2
42.8136,1.7165,302.5,1.6,1.2,2020-01-09,1117,Terra,MODIS,52,6.03,285.9,12.9,D,0
43.0603,-0.076,304.1,1.3,1.1,2020-01-09,1117,Terra,MODIS,58,6.03,281.9,10.7,D,0
43.6508,4.4572,306.3,1.2,1.1,2020-01-09,1259,Aqua,MODIS,63,6.03,285.7,11.3,D,0
42.4153,2.4518,314.8,1,1,2020-01-09,1259,Aqua,MODIS,75,6.03,289.3,15.4,D,0
42.8188,1.7045,310.9,1,1,2020-01-09,1259,Aqua,MODIS,71,6.03,292.5,11.2,D,0
43.4468,4.8873,300.3,1.2,1.1,2020-01-09,1259,Aqua,MODIS,26,6.03,287.8,6.1,D,2
42.994,0.0124,303.6,1,1,2020-01-09,1259,Aqua,MODIS,56,6.03,285.6,7.8,D,0
43.0188,-0.0079,304.4,1,1,2020-01-09,1259,Aqua,MODIS,59,6.03,283.4,8.1,D,0
43.0538,-0.0756,305.7,1,1,2020-01-09,1259,Aqua,MODIS,62,6.03,284.1,8.7,D,0
42.972,-0.8788,306.6,1.1,1,2020-01-09,1259,Aqua,MODIS,64,6.03,282.1,10.9,D,0
42.9699,-0.8917,315.6,1.1,1,2020-01-09,1259,Aqua,MODIS,76,6.03,283.1,18.4,D,0
43.0548,-1.0606,303.7,1.1,1,2020-01-09,1259,Aqua,MODIS,57,6.03,283.9,8.5,D,0
43.45,4.9014,302.8,1,1,2020-01-11,0140,Aqua,MODIS,51,6.03,278.7,9.6,N,2
43.4404,4.9001,303,1.5,1.2,2020-01-11,1105,Terra,MODIS,0,6.03,284.3,13,D,2
43.4404,4.9045,300.7,1,1,2020-01-11,1247,Aqua,MODIS,0,6.03,285.8,5,D,2
43.4483,4.9028,302.2,1.1,1.1,2020-01-13,1053,Terra,MODIS,44,6.03,278.2,8.8,D,2
42.9543,-0.1845,306.3,1.2,1.1,2020-01-14,1318,Aqua,MODIS,44,6.03,282.6,10.3,D,0
42.9465,-0.1677,347.3,1.2,1.1,2020-01-14,1318,Aqua,MODIS,82,6.03,279.8,69.8,D,0
42.9449,-0.1817,368.8,1.2,1.1,2020-01-14,1318,Aqua,MODIS,100,6.03,291.7,139.2,D,0
42.9528,-0.1977,312.4,1.1,1.1,2020-01-14,1318,Aqua,MODIS,67,6.03,281.9,15.7,D,0
51.0447,2.2969,302.7,1.1,1,2020-01-16,0157,Aqua,MODIS,17,6.03,278.6,9.2,N,2
43.4442,4.8988,301.4,1.1,1.1,2020-01-16,0158,Aqua,MODIS,40,6.03,279.4,9.6,N,2
45.0508,2.5579,300.2,1.8,1.3,2020-01-16,1123,Terra,MODIS,32,6.03,282.3,16.1,D,0
45.0457,2.5811,302.8,1.8,1.3,2020-01-16,1123,Terra,MODIS,54,6.03,283.4,19.8,D,0
43.03,-0.8718,303.6,1,1,2020-01-16,1305,Aqua,MODIS,56,6.03,289.2,7,D,0
43.0212,-0.8628,305.2,1,1,2020-01-16,1305,Aqua,MODIS,61,6.03,290.6,7.4,D,0
51.044,2.2964,307.2,1.4,1.2,2020-01-16,1307,Aqua,MODIS,18,6.03,280.7,13.8,D,2
43.4444,4.8994,302.6,1,1,2020-01-18,0146,Aqua,MODIS,50,6.03,278.3,9,N,2
51.0458,2.2999,303.2,1,1,2020-01-18,1109,Terra,MODIS,0,6.03,280.1,8.9,D,2
42.4098,2.4607,358.4,1,1,2020-01-18,1253,Aqua,MODIS,99,6.03,287.8,85.1,D,0
42.408,2.4488,334.3,1,1,2020-01-18,1253,Aqua,MODIS,89,6.03,283.8,37.4,D,0
51.0268,2.255,300.1,2.2,1.4,2020-01-26,1020,Terra,MODIS,23,6.03,277.5,21.8,D,2
51.0382,2.294,307.2,1,1,2020-01-29,1237,Aqua,MODIS,49,6.03,281.5,10.8,D,2
51.0443,2.3028,300.9,1,1,2020-01-30,0209,Aqua,MODIS,11,6.03,277.3,7.6,N,2
43.4477,4.8994,302.6,1,1,2020-01-31,1041,Terra,MODIS,46,6.03,286.9,6,D,2
42.4955,9.5091,314.1,1,1,2020-01-31,1222,Aqua,MODIS,57,6.03,288.1,13.5,D,0
51.0265,2.2746,303.9,1.4,1.2,2020-02-01,1307,Aqua,MODIS,38,6.03,281.8,12.5,D,2
42.6876,2.298,303.1,1.5,1.2,2020-02-02,1029,Terra,MODIS,55,6.03,277.7,14,D,0
44.6165,-0.6164,301.9,1,1,2020-02-03,1111,Terra,MODIS,50,6.03,288.5,5.3,D,0
43.4485,4.902,300,1.9,1.3,2020-02-03,1111,Terra,MODIS,9,6.03,280.4,9.2,D,2
43.444,4.8934,300.4,1.9,1.3,2020-02-03,1111,Terra,MODIS,0,6.03,278.6,10.7,D,2
44.1904,-0.915,300.1,1,1,2020-02-03,1112,Terra,MODIS,26,6.03,289.3,3.9,D,0
44.1925,-0.9277,302.1,1,1,2020-02-03,1112,Terra,MODIS,51,6.03,289.6,5,D,0
43.9781,-0.9197,306.7,1,1,2020-02-03,1112,Terra,MODIS,64,6.03,289.7,8.4,D,0
42.5627,2.5504,306.7,1.5,1.2,2020-02-03,1112,Terra,MODIS,64,6.03,283.9,14.6,D,0
42.559,2.5686,328,1.5,1.2,2020-02-03,1112,Terra,MODIS,85,6.03,286,48.5,D,0
43.1795,-1.3896,304,1,1,2020-02-03,1112,Terra,MODIS,51,6.03,292.4,5.8,D,0
43.1775,-1.3768,303.3,1,1,2020-02-03,1112,Terra,MODIS,51,6.03,291.7,5.2,D,0
43.0425,-1.1765,304.9,1,1,2020-02-03,1112,Terra,MODIS,60,6.03,284.6,8.3,D,0
42.5365,2.5293,301.4,1,1,2020-02-03,1253,Aqua,MODIS,29,6.03,291,4.6,D,0
42.5596,2.5605,334,1,1,2020-02-03,1253,Aqua,MODIS,89,6.03,294.3,34.3,D,0
43.4406,4.9024,306.1,1.1,1,2020-02-03,1253,Aqua,MODIS,0,6.03,290.4,6.4,D,2
42.8013,0.4938,304.8,1.1,1,2020-02-03,1253,Aqua,MODIS,60,6.03,283.7,8.1,D,0
43.1098,-0.0613,305.8,1.1,1.1,2020-02-03,1253,Aqua,MODIS,58,6.03,291.4,7,D,0
43.018,-0.8367,319.8,1.2,1.1,2020-02-03,1253,Aqua,MODIS,80,6.03,283,23.5,D,0
43.0424,-1.0407,300.3,1.2,1.1,2020-02-03,1253,Aqua,MODIS,23,6.03,285.8,5.8,D,0
43.0386,-1.1874,307.2,1.2,1.1,2020-02-03,1253,Aqua,MODIS,46,6.03,287.6,9.8,D,0
43.048,-1.1917,316.8,1.2,1.1,2020-02-03,1253,Aqua,MODIS,77,6.03,288.8,20,D,0
43.061,-1.4031,303.7,1.3,1.1,2020-02-03,1253,Aqua,MODIS,57,6.03,291.4,7.5,D,0
44.209,0.0548,304.6,1.1,1,2020-02-03,1254,Aqua,MODIS,59,6.03,291.7,6.3,D,0
43.4508,4.8992,300.9,1.6,1.2,2020-02-04,1016,Terra,MODIS,33,6.03,286.6,10.7,D,2
41.8542,9.348,311.5,1,1,2020-02-04,1017,Terra,MODIS,26,6.03,291.6,8.5,D,0
41.8607,9.3004,413.7,1,1,2020-02-04,1017,Terra,MODIS,100,6.03,304.8,357.1,D,0
41.8591,9.3124,482.8,1,1,2020-02-04,1017,Terra,MODIS,100,6.03,326.8,1279.9,D,0
41.8575,9.3243,385.8,1,1,2020-02-04,1017,Terra,MODIS,100,6.03,299.6,180.9,D,0
41.8534,9.2917,341.2,1,1,2020-02-04,1017,Terra,MODIS,83,6.03,292.5,44.3,D,0
41.8517,9.3038,421.4,1,1,2020-02-04,1017,Terra,MODIS,100,6.03,310.6,418.2,D,0
41.8501,9.3158,404.1,1,1,2020-02-04,1017,Terra,MODIS,100,6.03,307.4,283.8,D,0
41.8484,9.3279,369.5,1,1,2020-02-04,1017,Terra,MODIS,100,6.03,301.5,117.3,D,0
41.8468,9.3397,321.6,1,1,2020-02-04,1017,Terra,MODIS,74,6.03,293.3,18.7,D,0
41.8444,9.2893,314.9,1,1,2020-02-04,1017,Terra,MODIS,48,6.03,291,12.4,D,0
41.8428,9.3014,355.3,1,1,2020-02-04,1017,Terra,MODIS,98,6.03,295.9,75.1,D,0
41.8411,9.3134,396.2,1,1,2020-02-04,1017,Terra,MODIS,100,6.03,304.6,236,D,0
41.8395,9.3255,373.3,1,1,2020-02-04,1017,Terra,MODIS,100,6.03,298.4,129.8,D,0
41.8378,9.3376,325.6,1,1,2020-02-04,1017,Terra,MODIS,79,6.03,293.2,22.4,D,0
41.837,9.2755,326.8,1,1,2020-02-04,1017,Terra,MODIS,80,6.03,291.2,24.6,D,0
41.8354,9.2875,314.5,1,1,2020-02-04,1017,Terra,MODIS,33,6.03,289.4,11.4,D,0
41.8366,9.3102,312,1,1,2020-02-05,0134,Aqua,MODIS,77,6.03,282.3,14.7,N,0
43.448,4.9023,310.3,1.1,1.1,2020-02-05,0134,Aqua,MODIS,80,6.03,278.9,17.4,N,2
41.8387,9.2974,341.7,1,1,2020-02-05,0134,Aqua,MODIS,100,6.03,283.5,52.7,N,0
43.4417,4.9043,300.3,1.3,1.1,2020-02-05,1059,Terra,MODIS,0,6.03,284.7,8.4,D,2
41.8539,9.2953,314.5,2.5,1.5,2020-02-05,1100,Terra,MODIS,46,6.03,284,58.4,D,0
41.8603,9.2889,314.4,2.5,1.5,2020-02-05,1100,Terra,MODIS,61,6.03,282.4,60,D,0
43.2178,-1.3626,336.7,1.2,1.1,2020-02-06,1324,Aqua,MODIS,90,6.03,289.7,50.8,D,0
42.8355,0.571,310,1.5,1.2,2020-02-06,1324,Aqua,MODIS,69,6.03,286.4,16,D,0
42.834,0.5557,306.9,1.5,1.2,2020-02-06,1324,Aqua,MODIS,50,6.03,288.7,12.6,D,0
43.216,-1.3782,307.3,1.2,1.1,2020-02-06,1324,Aqua,MODIS,65,6.03,287.6,10.8,D,0
42.8386,0.5651,312.5,1.5,1.2,2020-02-06,1324,Aqua,MODIS,73,6.03,286.6,20.4,D,0
43.1624,-1.1347,300.6,1.2,1.1,2020-02-06,1324,Aqua,MODIS,39,6.03,287.5,5.6,D,0
51.0246,2.2601,304.4,2.2,1.4,2020-02-06,1326,Aqua,MODIS,0,6.03,279.2,25.1,D,2
51.0371,2.2926,305.1,1.5,1.2,2020-02-06,2113,Terra,MODIS,63,6.03,274.8,20.1,N,2
51.033,2.2725,325.7,1.5,1.2,2020-02-06,2113,Terra,MODIS,100,6.03,276,50.9,N,2
51.0323,2.287,301.9,2.7,1.6,2020-02-07,0120,Aqua,MODIS,46,6.03,273.7,40.7,N,2
51.0297,2.2721,302,1.2,1.1,2020-02-07,1045,Terra,MODIS,43,6.03,279.4,10.1,D,2
51.0278,2.2887,305.8,1.2,1.1,2020-02-07,1045,Terra,MODIS,59,6.03,279.9,12.8,D,2
43.9906,5.9845,309.6,1.1,1,2020-02-07,1047,Terra,MODIS,60,6.03,281.6,13.3,D,0
43.6655,4.4999,301.5,1,1,2020-02-07,1047,Terra,MODIS,47,6.03,285,6.3,D,0
43.4456,4.8908,301,1,1,2020-02-07,1047,Terra,MODIS,33,6.03,287.8,5.3,D,2
43.4436,4.9033,308.8,1,1,2020-02-07,1047,Terra,MODIS,51,6.03,287.8,10.2,D,2
43.085,-0.08,317.9,1.2,1.1,2020-02-07,1047,Terra,MODIS,78,6.03,284.7,22.4,D,0
43.0834,-0.066,312.7,1.2,1.1,2020-02-07,1047,Terra,MODIS,73,6.03,282.4,17,D,0
43.2055,-1.2563,306,1.3,1.1,2020-02-07,1047,Terra,MODIS,63,6.03,286.5,12.1,D,0
43.0872,-0.2696,307.5,1.2,1.1,2020-02-07,1047,Terra,MODIS,65,6.03,284.5,12.5,D,0
42.6891,2.2882,306.2,1,1,2020-02-07,1047,Terra,MODIS,63,6.03,281.5,10.1,D,0
42.9922,-0.9684,324.2,1.3,1.1,2020-02-07,1047,Terra,MODIS,83,6.03,283.7,33.3,D,0
43.4468,4.8966,318.1,1.2,1.1,2020-02-07,1229,Aqua,MODIS,68,6.03,288.9,22.2,D,2
43.4441,4.8819,300.2,1.2,1.1,2020-02-07,1229,Aqua,MODIS,0,6.03,288.9,5.6,D,2
43.0177,-1.1491,302.6,2.6,1.5,2020-02-07,1229,Aqua,MODIS,53,6.03,282.1,30,D,0
42.9174,1.1188,308.7,2.2,1.4,2020-02-08,1130,Terra,MODIS,67,6.03,279.4,35.4,D,0
42.9184,1.112,304.1,2.2,1.4,2020-02-08,1130,Terra,MODIS,58,6.03,278.8,24.5,D,0
42.9121,1.1404,300.5,2.2,1.4,2020-02-08,1130,Terra,MODIS,31,6.03,279,18.3,D,0
43.0713,-0.1108,301.8,1,1,2020-02-08,1312,Aqua,MODIS,49,6.03,279.5,7.1,D,0
43.4486,4.8951,306.9,1,1,2020-02-09,1035,Terra,MODIS,54,6.03,287.5,7.3,D,2
43.027,-0.9555,313.7,1.1,1,2020-02-10,1259,Aqua,MODIS,73,6.03,292.5,12.5,D,0
43.0249,-0.9688,325.4,1.1,1,2020-02-10,1259,Aqua,MODIS,84,6.03,294.4,25.2,D,0
43.1874,-0.9381,300.4,1.1,1,2020-02-10,1259,Aqua,MODIS,36,6.03,290,3.7,D,0
43.2691,-0.8357,300.2,1.1,1,2020-02-10,1259,Aqua,MODIS,29,6.03,288.1,3.7,D,0
42.9597,0.0246,341.4,1,1,2020-02-10,1259,Aqua,MODIS,87,6.03,283.7,49.7,D,0
42.9578,0.0121,323.3,1,1,2020-02-10,1259,Aqua,MODIS,82,6.03,290.1,23.9,D,0
42.9648,-0.0029,346.4,1,1,2020-02-10,1259,Aqua,MODIS,94,6.03,290.3,56.2,D,0
42.9629,-0.0151,327.7,1,1,2020-02-10,1259,Aqua,MODIS,85,6.03,288.9,25.9,D,0
43.8264,6.7191,305.6,1.5,1.2,2020-02-10,1259,Aqua,MODIS,62,6.03,281.2,16.3,D,0
43.02,-0.9404,315,1.1,1,2020-02-10,1259,Aqua,MODIS,75,6.03,293.4,14.2,D,0
42.3923,9.4908,306.7,2.2,1.4,2020-02-10,2046,Terra,MODIS,69,6.03,288.9,28.8,N,0
42.6057,9.3772,319.9,1.9,1.4,2020-02-11,0057,Aqua,MODIS,99,6.03,287.7,51.6,N,0
42.5915,9.4002,320.7,1.9,1.4,2020-02-11,0057,Aqua,MODIS,100,6.03,286.3,53.2,N,0
42.5934,9.3767,324.7,1.9,1.4,2020-02-11,0057,Aqua,MODIS,100,6.03,287,64.5,N,0
42.604,9.3982,333,1.9,1.4,2020-02-11,0057,Aqua,MODIS,100,6.03,290.7,91.2,N,0
41.8531,9.2646,331.6,1,1,2020-02-11,1023,Terra,MODIS,84,6.03,288,31.9,D,0
41.8514,9.2766,318.7,1,1,2020-02-11,1023,Terra,MODIS,60,6.03,290.1,15.8,D,0
41.8283,9.3077,318.6,1,1,2020-02-11,1023,Terra,MODIS,70,6.03,293.8,15,D,0
42.5847,9.3855,337.8,1,1,2020-02-11,1023,Terra,MODIS,88,6.03,290.6,40.3,D,0
43.7865,6.9953,319.4,1.1,1,2020-02-11,1023,Terra,MODIS,79,6.03,285.3,21.3,D,0
43.7223,6.8494,309.7,1.1,1.1,2020-02-11,1023,Terra,MODIS,50,6.03,287.1,11.9,D,0
43.7147,6.8329,307.5,1.1,1.1,2020-02-11,1023,Terra,MODIS,65,6.03,285.7,10.2,D,0
43.713,6.8467,316.9,1.1,1.1,2020-02-11,1023,Terra,MODIS,77,6.03,285.8,18.7,D,0
42.6018,9.3968,317.9,1,1,2020-02-11,1023,Terra,MODIS,47,6.03,289.2,13.8,D,0
42.593,9.3944,319,1,1,2020-02-11,1023,Terra,MODIS,64,6.03,287.7,15.1,D,0
42.583,9.3975,335,1,1,2020-02-11,1023,Terra,MODIS,82,6.03,291.8,35.7,D,0
42.5759,9.3831,340.3,1,1,2020-02-11,1023,Terra,MODIS,90,6.03,289.5,44.6,D,0
42.5741,9.3951,325.9,1,1,2020-02-11,1023,Terra,MODIS,79,6.03,289.7,24.2,D,0
42.2367,9.4853,313,1,1,2020-02-11,1023,Terra,MODIS,57,6.03,295,10.4,D,0
41.872,9.3256,343.2,1,1,2020-02-11,1023,Terra,MODIS,92,6.03,292.1,46.9,D,0
41.8702,9.3375,342.2,1,1,2020-02-11,1023,Terra,MODIS,91,6.03,292.6,45.7,D,0
41.862,9.2669,328.9,1,1,2020-02-11,1023,Terra,MODIS,79,6.03,286.2,27.2,D,0
41.8602,9.2788,326.4,1,1,2020-02-11,1023,Terra,MODIS,66,6.03,288.9,23,D,0
42.5773,9.4009,338.3,1.5,1.2,2020-02-11,1204,Aqua,MODIS,91,6.03,292.7,73.3,D,0
42.5741,9.385,365.9,1.5,1.2,2020-02-11,1204,Aqua,MODIS,100,6.03,294.8,191.3,D,0
41.8881,9.3161,309.8,1,1,2020-02-11,2129,Terra,MODIS,68,6.03,285.8,11.7,N,0
41.8386,9.2829,312.4,1,1,2020-02-11,2129,Terra,MODIS,79,6.03,287.3,12.9,N,0
41.8439,9.2619,310,1,1,2020-02-11,2129,Terra,MODIS,58,6.03,281.7,13,N,0
41.8733,9.3457,316.5,1,1,2020-02-11,2129,Terra,MODIS,91,6.03,289,16.3,N,0
41.8717,9.333,313.1,1,1,2020-02-11,2129,Terra,MODIS,81,6.03,288.1,13.2,N,0
41.8807,9.331,337.6,1,1,2020-02-11,2129,Terra,MODIS,100,6.03,290.7,42.8,N,0
41.8791,9.3184,390.9,1,1,2020-02-11,2129,Terra,MODIS,100,6.03,297.9,215.7,N,0
41.8774,9.3055,369.4,1,1,2020-02-11,2129,Terra,MODIS,100,6.03,291.5,122,N,0
41.8865,9.3036,312.9,1,1,2020-02-11,2129,Terra,MODIS,80,6.03,285.3,14.1,N,0
51.0339,2.2743,319.9,1,1,2020-02-11,2132,Terra,MODIS,99,6.03,276.5,23.9,N,2
41.9011,9.3185,311.8,1.2,1.1,2020-02-12,0141,Aqua,MODIS,76,6.03,283.3,16.2,N,0
41.8986,9.333,314,1.2,1.1,2020-02-12,0141,Aqua,MODIS,84,6.03,284.8,18.1,N,0
41.8917,9.3154,323.7,1.2,1.1,2020-02-12,0141,Aqua,MODIS,100,6.03,285.5,29.5,N,0
41.8891,9.3303,324.1,1.2,1.1,2020-02-12,0141,Aqua,MODIS,100,6.03,287.9,29.9,N,0
41.8822,9.3125,316.7,1.2,1.1,2020-02-12,0141,Aqua,MODIS,92,6.03,285.7,21.2,N,0
51.0319,2.2879,302.4,1,1,2020-02-12,1104,Terra,MODIS,49,6.03,277.9,7.3,D,2
43.4411,4.8989,308.6,1,1,2020-02-12,1247,Aqua,MODIS,0,6.03,282,10.2,D,2
51.03,2.2817,312.8,1,1,2020-02-12,1249,Aqua,MODIS,63,6.03,280.8,14.5,D,2
51.0347,2.2911,300.8,1.1,1,2020-02-14,1052,Terra,MODIS,24,6.03,280.8,6.3,D,2
51.0419,2.3089,300.6,1.1,1,2020-02-14,1052,Terra,MODIS,20,6.03,279.6,6,D,2
43.4417,4.9002,309.9,1.1,1.1,2020-02-14,1053,Terra,MODIS,0,6.03,288.6,11.6,D,2
43.4441,4.8865,300.4,1.1,1.1,2020-02-14,1053,Terra,MODIS,0,6.03,288.4,4.7,D,2
43.9852,5.992,310.7,1,1,2020-02-14,1235,Aqua,MODIS,66,6.03,285.2,11.5,D,0
44.0087,6.024,302.4,1,1,2020-02-14,1235,Aqua,MODIS,49,6.03,285.2,6.4,D,0
51.0384,2.2951,312.6,1,1,2020-02-14,1237,Aqua,MODIS,55,6.03,275.9,14.9,D,2
43.4462,4.895,311.1,1.4,1.2,2020-02-14,2200,Terra,MODIS,82,6.03,279.3,25.3,N,2
42.7719,0.537,312.7,1.2,1.1,2020-02-15,1318,Aqua,MODIS,73,6.03,287.9,16.6,D,0
42.7736,0.5533,310.5,1.2,1.1,2020-02-15,1318,Aqua,MODIS,70,6.03,287,14.6,D,0
42.9015,0.6182,303.6,1.2,1.1,2020-02-15,1318,Aqua,MODIS,56,6.03,292.3,6.9,D,0
42.8997,0.6012,310.9,1.2,1.1,2020-02-15,1318,Aqua,MODIS,71,6.03,292.3,13.6,D,0
51.0419,2.2921,305.7,1.1,1,2020-02-16,2150,Terra,MODIS,26,6.03,280.1,11.4,N,2
51.0424,2.305,314,1.1,1,2020-02-17,0157,Aqua,MODIS,76,6.03,278.9,17,N,2
51.0497,2.3229,300.2,1.1,1,2020-02-17,0157,Aqua,MODIS,13,6.03,278.9,7.9,N,2
43.4468,4.9036,303.8,1.1,1.1,2020-02-18,1029,Terra,MODIS,43,6.03,287.3,8.1,D,2
51.0411,2.3023,308.4,1.1,1,2020-02-19,1110,Terra,MODIS,51,6.03,279.3,11.4,D,2
43.6538,6.3394,309.3,1.2,1.1,2020-02-19,1253,Aqua,MODIS,68,6.03,286.5,14.4,D,0
43.4455,4.9049,300.5,1.1,1,2020-02-19,1253,Aqua,MODIS,29,6.03,290,3.8,D,2
43.5817,4.3787,301.2,1,1,2020-02-19,1253,Aqua,MODIS,39,6.03,287.7,4.8,D,0
43.0697,-0.4446,303.7,1.2,1.1,2020-02-19,1253,Aqua,MODIS,55,6.03,282.2,9.1,D,0
43.719,6.937,305.5,1.3,1.1,2020-02-20,1017,Terra,MODIS,62,6.03,285.5,10.9,D,0
43.7175,6.9512,302.1,1.3,1.1,2020-02-20,1017,Terra,MODIS,50,6.03,286.5,7.8,D,0
43.4454,4.8987,300.5,1.6,1.2,2020-02-20,1017,Terra,MODIS,16,6.03,289.3,6.8,D,2
44.6205,3.617,301.8,3.3,1.7,2020-02-20,1159,Aqua,MODIS,43,6.03,283,40.4,D,0
43.054,-0.8995,301,1.8,1.3,2020-02-20,1336,Aqua,MODIS,40,6.03,289.6,8.7,D,0
42.8543,1.492,309.9,2.5,1.5,2020-02-20,1336,Aqua,MODIS,69,6.03,289.4,36.4,D,0
43.072,-1.2157,301.5,1.7,1.3,2020-02-20,1336,Aqua,MODIS,47,6.03,291.4,9.9,D,0
43.4494,4.8994,303.9,1.2,1.1,2020-02-20,2124,Terra,MODIS,57,6.03,277.5,13,N,2
51.0439,2.3056,308.5,1.1,1.1,2020-02-20,2126,Terra,MODIS,75,6.03,278,15,N,2
51.0412,2.2901,323.1,1.1,1.1,2020-02-20,2126,Terra,MODIS,100,6.03,278.1,29.7,N,2
44.759,4.7749,300.5,1.2,1.1,2020-02-21,1059,Terra,MODIS,33,6.03,280.5,7.5,D,0
44.4192,3.6574,300.9,1.1,1.1,2020-02-21,1059,Terra,MODIS,42,6.03,275.8,8.3,D,0
44.4168,3.6713,303.4,1.1,1.1,2020-02-21,1059,Terra,MODIS,56,6.03,275.4,10,D,0
43.1515,-1.3959,301.8,1,1,2020-02-21,1100,Terra,MODIS,44,6.03,279.2,6.1,D,0
43.4444,4.8922,304.5,1.3,1.1,2020-02-21,1100,Terra,MODIS,45,6.03,283.6,10.5,D,2
42.8566,1.4817,301.5,1,1,2020-02-21,1100,Terra,MODIS,39,6.03,286.2,6.4,D,0
43.4449,4.8924,310.8,1,1,2020-02-21,1241,Aqua,MODIS,53,6.03,278,11.5,D,2
43.7011,4.6833,303.7,1,1,2020-02-21,1241,Aqua,MODIS,49,6.03,277.5,7.6,D,0
43.0803,-1.3616,316.1,1.8,1.3,2020-02-21,1241,Aqua,MODIS,76,6.03,278.8,35.9,D,0
43.076,-1.3674,314.3,1.8,1.3,2020-02-21,1241,Aqua,MODIS,75,6.03,279.4,34.5,D,0
44.3584,3.8,301.9,4.1,1.9,2020-02-22,1142,Terra,MODIS,49,6.03,284.9,45.2,D,0
44.3533,3.795,300.8,4.1,1.9,2020-02-22,1142,Terra,MODIS,35,6.03,284.7,39.5,D,0
43.1864,-1.3691,322.2,2.3,1.5,2020-02-22,1143,Terra,MODIS,81,6.03,283.2,72.5,D,0
43.1766,-1.3764,315.9,2.3,1.5,2020-02-22,1143,Terra,MODIS,64,6.03,281.5,47.6,D,0
44.3519,3.7993,300.1,4.8,2,2020-02-22,1147,Aqua,MODIS,26,6.03,285,49.6,D,0
44.3495,3.79,300.5,4.8,2,2020-02-22,1147,Aqua,MODIS,37,6.03,285,51.6,D,0
44.6811,4.0931,305.3,2.4,1.5,2020-02-22,1324,Aqua,MODIS,45,6.03,286.9,22.1,D,0
44.6794,4.0626,326.6,2.4,1.5,2020-02-22,1324,Aqua,MODIS,84,6.03,289.7,88.8,D,0
42.723,1.627,305.1,1.7,1.3,2020-02-22,1324,Aqua,MODIS,60,6.03,286.5,14,D,0
42.857,1.4793,301,1.6,1.3,2020-02-22,1324,Aqua,MODIS,34,6.03,287.4,8.9,D,0
42.8566,1.4712,301.7,1.6,1.3,2020-02-22,1324,Aqua,MODIS,30,6.03,287.3,8.1,D,0
43.0007,-0.8194,310.7,1.3,1.1,2020-02-22,1324,Aqua,MODIS,61,6.03,288.3,13.4,D,0
43.0022,-0.8118,313.6,1.3,1.1,2020-02-22,1324,Aqua,MODIS,60,6.03,286.5,16,D,0
43.0856,-0.6037,301.5,1.3,1.1,2020-02-22,1324,Aqua,MODIS,48,6.03,284.2,7.2,D,0
43.0253,-1.156,323.5,1.2,1.1,2020-02-22,1324,Aqua,MODIS,82,6.03,286.3,28.7,D,0
43.0236,-1.1713,324.5,1.2,1.1,2020-02-22,1324,Aqua,MODIS,83,6.03,283,30.2,D,0
43.0761,-0.9695,301.8,1.2,1.1,2020-02-22,1324,Aqua,MODIS,42,6.03,284.6,5.8,D,0
